frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
36,5,0.1359414951085 1241.8008845937243 2826.3796992152934 1855.0,0.0 1701.3333333333333 2700.6666666666665 1757.0,0,0,0
37,5,0.6510333505257 1248.4994570009244 2828.7627831813643 1860.0,0.0 1704.5 2703.0 1761.0,0.2513829469680786,NU51VSU,0.046633502239909815
38,5,0.712466676507 1248.9992143271147 2832.263393549348 1862.0,0.785714285714 1707.642857142857 2703.9285714285716 1764.0,0,0,0
39,5,0.773900002488 1249.4989716533053 2835.7640039173316 1865.0,0.5714285714284 1710.7857142857142 2704.8571428571427 1767.0,0,0,0
40,5,0.8353333284695 1249.9987289794956 2839.2646142853155 1867.0,0.3571428571427 1713.9285714285713 2705.785714285714 1770.0,0,0,0
41,5,0.896766654451 1250.498486305686 2842.7652246532994 1869.0,0.1428571428573 1717.0714285714287 2706.714285714286 1772.0,0,0,0
42,5,0.9581999804323 1250.9982436318762 2846.2658350212832 1872.0,0.9285714285716 1720.2142857142858 2707.6428571428573 1775.0,0,0,0
43,5,0.019633306413 1251.4980009580668 2849.7664453892667 1874.0,0.714285714286 1723.357142857143 2708.5714285714284 1778.0,0,0,0
44,5,0.0810666323946 1251.997758284257 2853.2670557572505 1876.0,0.5 1726.5 2709.5 1781.0,0.264431357383728,MD51VSU,0.13442055707508918
45,5,0.148661475965 1255.8954108329458 2854.1999571103324 1880.0,0.75 1730.25 2711.25 1784.0,0,0,0
46,5,0.216256319536 1259.7930633816347 2855.132858463415 1884.0,0.0 1734.0 2713.0 1788.0,0.27462154626846313,MJ51VSI,0.1331134689073743
47,5,0.6517344281124 1262.4651691959168 2855.098908408125 1888.0,0.5 1736.5 2715.1666666666665 1791.0,0,0,0
48,5,0.087212536689 1265.1372750101987 2855.064958352835 1893.0,0.0 1739.0 2717.3333333333335 1795.0,0,0,0
49,5,0.5226906452654 1267.8093808244807 2855.0310082975457 1897.0,0.5 1741.5 2719.5 1798.0,0.25305265188217163,MZ51VSW,0.020558706676464252
50,5,0.6592008123903 1267.6302652989843 2854.5160464385526 1900.0,0.5 1745.5 2721.5 1803.0,0,0,0
51,5,0.795710979515 1267.4511497734877 2854.0010845795596 1903.0,0.5 1749.5 2723.5 1808.0,0.2563808858394623,CE51TSU,0.017302813691463883
52,5,0.3611991476364 1270.107726640243 2855.0463690150636 1907.0,0.527777777778 1753.0555555555557 2724.3611111111113 1812.0,0,0,0
53,5,0.926687315757 1272.7643035069984 2856.0916534505673 1910.0,0.5555555555557 1756.611111111111 2725.222222222222 1815.0,0,0,0
54,5,0.4921754838783 1275.4208803737538 2857.1369378860713 1914.0,0.5833333333335 1760.1666666666667 2726.0833333333335 1819.0,0,0,0
55,5,0.0576636519995 1278.077457240509 2858.1822223215754 1918.0,0.6111111111113 1763.7222222222222 2726.9444444444443 1822.0,0,0,0
56,5,0.6231518201207 1280.7340341072643 2859.2275067570795 1922.0,0.6388888888887 1767.2777777777778 2727.8055555555557 1826.0,0,0,0
57,5,0.1886399882414 1283.3906109740196 2860.272791192583 1926.0,0.6666666666665 1770.8333333333333 2728.6666666666665 1829.0,0,0,0
58,5,0.7541281563626 1286.047187840775 2861.318075628087 1929.0,0.6944444444443 1774.388888888889 2729.527777777778 1833.0,0,0,0
59,5,0.319616324484 1288.7037647075304 2862.3633600635912 1933.0,0.722222222222 1777.9444444444443 2730.3888888888887 1836.0,0,0,0
60,5,0.885104492605 1291.3603415742855 2863.4086444990953 1937.0,0.75 1781.5 2731.25 1840.0,0,0,0
61,5,0.4505926607258 1294.0169184410408 2864.453928934599 1941.0,0.777777777778 1785.0555555555557 2732.1111111111113 1844.0,0,0,0
62,5,0.016080828847 1296.6734953077962 2865.499213370103 1945.0,0.8055555555557 1788.611111111111 2732.972222222222 1847.0,0,0,0
63,5,0.581568996968 1299.3300721745516 2866.544497805607 1949.0,0.8333333333335 1792.1666666666667 2733.8333333333335 1851.0,0,0,0
64,5,0.147057165089 1301.986649041307 2867.5897822411107 1952.0,0.8611111111113 1795.7222222222222 2734.6944444444443 1854.0,0,0,0
65,5,0.71254533321 1304.6432259080623 2868.6350666766148 1956.0,0.8888888888887 1799.2777777777778 2735.5555555555557 1858.0,0,0,0
66,5,0.2780335013313 1307.2998027748176 2869.680351112119 1960.0,0.9166666666665 1802.8333333333333 2736.4166666666665 1861.0,0,0,0
67,5,0.8435216694525 1309.9563796415728 2870.725635547623 1964.0,0.9444444444443 1806.388888888889 2737.277777777778 1865.0,0,0,0
68,5,0.409009837573 1312.6129565083281 2871.7709199831265 1968.0,0.972222222222 1809.9444444444443 2738.1388888888887 1868.0,0,0,0
69,5,0.9744980056944 1315.2695333750835 2872.8162044186306 1972.0,0.0 1813.5 2739.0 1872.0,0.2580347955226898,CT51YSU,0.09930343561384251
70,5,0.1643199982523 1318.0984512654602 2874.5137372806535 1976.0,0.0714285714284 1817.357142857143 2740.404761904762 1876.0,0,0,0
71,5,0.35414199081 1320.9273691558371 2876.211270142676 1980.0,0.1428571428573 1821.2142857142858 2741.809523809524 1880.0,0,0,0
72,5,0.543963983368 1323.7562870462139 2877.9088030046987 1984.0,0.214285714286 1825.0714285714287 2743.214285714286 1884.0,0,0,0
73,5,0.733785975926 1326.5852049365908 2879.6063358667216 1989.0,0.285714285714 1828.9285714285713 2744.6190476190477 1889.0,0,0,0
74,5,0.923607968484 1329.4141228269675 2881.3038687287444 1993.0,0.3571428571427 1832.7857142857142 2746.0238095238096 1893.0,0,0,0
75,5,0.113429961042 1332.2430407173445 2883.001401590767 1997.0,0.4285714285716 1836.642857142857 2747.4285714285716 1897.0,0,0,0
76,5,0.3032519536 1335.0719586077212 2884.6989344527897 2001.0,0.5 1840.5 2748.8333333333335 1901.0,0,0,0
77,5,0.493073946158 1337.900876498098 2886.3964673148125 2006.0,0.5714285714284 1844.357142857143 2750.2380952380954 1905.0,0,0,0
78,5,0.682895938716 1340.7297943884748 2888.094000176835 2010.0,0.6428571428573 1848.2142857142858 2751.6428571428573 1909.0,0,0,0
79,5,0.8727179312737 1343.5587122788515 2889.791533038858 2014.0,0.714285714286 1852.0714285714287 2753.0476190476193 1913.0,0,0,0
80,5,0.0625399238315 1346.3876301692285 2891.4890659008806 2018.0,0.785714285714 1855.9285714285713 2754.4523809523807 1918.0,0,0,0
81,5,0.2523619163894 1349.2165480596052 2893.1865987629035 2023.0,0.8571428571427 1859.7857142857142 2755.8571428571427 1922.0,0,0,0
82,5,0.4421839089473 1352.0454659499821 2894.884131624926 2027.0,0.9285714285716 1863.642857142857 2757.2619047619046 1926.0,0,0,0
83,5,0.632005901505 1354.8743838403589 2896.5816644869487 2031.0,0.0 1867.5 2758.6666666666665 1930.0,0,0,0
84,5,0.821827894063 1357.7033017307356 2898.2791973489716 2035.0,0.0714285714284 1871.357142857143 2760.0714285714284 1934.0,0,0,0
85,5,0.0116498866214 1360.5322196211125 2899.976730210994 2040.0,0.1428571428573 1875.2142857142858 2761.4761904761904 1938.0,0,0,0
86,5,0.2014718791793 1363.3611375114892 2901.674263073017 2044.0,0.214285714286 1879.0714285714287 2762.8809523809523 1942.0,0,0,0
