frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
12,5,2191.1864362656956 1179.1543468154791 2796.81604299591 1773.2491815220105,2506.035714285714 1629.6785714285713 2681.3928571428573 1683.0357142857142,0,0,0
13,5,2191.3657795220406 1180.2910408241 2798.3422872229007 1776.1806380341213,2506.714285714286 1632.5714285714287 2681.8571428571427 1685.7142857142858,0,0,0
14,5,2191.5451227783856 1181.427734832721 2799.8685314498916 1779.1120945462321,2507.3928571428573 1635.4642857142858 2682.3214285714284 1688.392857142857,0,0,0
15,5,2191.7244660347305 1182.5644288413419 2801.394775676882 1782.043551058343,2508.0714285714284 1638.357142857143 2682.785714285714 1691.0714285714287,0,0,0
16,5,2191.9038092910755 1183.7011228499628 2802.921019903873 1784.9750075704537,2508.75 1641.25 2683.25 1693.75,0,0,0
17,5,2192.0831525474205 1184.837816858584 2804.447264130864 1787.9064640825643,2509.4285714285716 1644.142857142857 2683.714285714286 1696.4285714285713,0,0,0
18,5,2192.2624958037654 1185.9745108672048 2805.9735083578544 1790.837920594675,2510.1071428571427 1647.0357142857142 2684.1785714285716 1699.107142857143,0,0,0
19,5,2192.4418390601104 1187.1112048758257 2807.4997525848453 1793.769377106786,2510.785714285714 1649.9285714285713 2684.6428571428573 1701.7857142857142,0,0,0
20,5,2192.6211823164554 1188.2478988844466 2809.025996811836 1796.7008336188967,2511.464285714286 1652.8214285714287 2685.1071428571427 1704.4642857142858,0,0,0
21,5,2192.8005255728003 1189.3845928930677 2810.552241038827 1799.6322901310073,2512.1428571428573 1655.7142857142858 2685.5714285714284 1707.142857142857,0,0,0
22,5,2192.9798688291453 1190.5212869016887 2812.0784852658176 1802.563746643118,2512.8214285714284 1658.607142857143 2686.035714285714 1709.8214285714287,0,0,0
23,5,2193.1592120854903 1191.6579809103096 2813.6047294928085 1805.4952031552289,2513.5 1661.5 2686.5 1712.5,0.2583954632282257,MI51VSU,0.23200078350683262
24,5,2194.2257868014076 1198.0231106194074 2813.672597213643 1810.2381705465891,2513.0 1665.0 2687.0 1717.0,0.26352572441101074,MI51VSU,0.09605199264171166
25,5,2194.8736417230584 1200.5306149027747 2813.587350173595 1811.636236928564,2513.0 1665.0 2687.0 1717.0,0.2589648962020874,NI51VSU,0.1327298340910064
26,5,2195.84554682911 1204.3727463743694 2813.6606010474743 1814.0828916654673,2513.75 1668.5 2686.25 1719.5,0,0,0
27,5,2196.8174519351614 1208.214877845964 2813.7338519213536 1816.5295464023707,2514.5 1672.0 2685.5 1722.0,0.27497127652168274,MN51VSU,0.13363139539524224
28,5,2198.26515567351 1211.7541206488804 2814.9987690996822 1819.1414240737113,2516.0 1676.5 2688.0 1727.5,0.2629149556159973,MV51VSU,0.23537356766261316
29,5,2200.1040181843996 1215.5549972642737 2817.4221443207925 1823.90333032095,2516.75 1680.0 2691.25 1732.0,0,0,0
30,5,2201.942880695289 1219.355873879667 2819.845519541903 1828.665236568189,2517.5 1683.5 2694.5 1736.5,0.2685953676700592,MT51VSU,0.04061675765720817
31,5,2201.395757011631 1221.4651781824932 2820.6354273586076 1832.2728527677452,2517.8333333333335 1686.1666666666667 2694.8333333333335 1739.1666666666667,0,0,0
32,5,2200.8486333279725 1223.5744824853195 2821.4253351753123 1835.8804689673013,2518.1666666666665 1688.8333333333333 2695.1666666666665 1741.8333333333333,0,0,0
33,5,2200.301509644314 1225.6837867881459 2822.215242992017 1839.4880851668577,2518.5 1691.5 2695.5 1744.5,0.2633611857891083,MI51VSV,0.015203704305132446
34,5,2201.105757784274 1228.403739779324 2821.613531283152 1845.5560679035088,2518.0 1695.0 2696.0 1749.0,0.2711680233478546,MD51VSU,0.1703918294630595
35,5,2200.620849639691 1235.1023121865242 2823.996615249223 1850.5974440172838,2519.0 1698.1666666666667 2698.3333333333335 1753.1666666666667,0,0,0
36,5,2200.1359414951085 1241.8008845937243 2826.3796992152934 1855.6388201310585,2520.0 1701.3333333333333 2700.6666666666665 1757.3333333333333,0,0,0
37,5,2199.6510333505257 1248.4994570009244 2828.7627831813643 1860.6801962448335,2521.0 1704.5 2703.0 1761.5,0.2513829469680786,NU51VSU,0.046633502239909815
38,5,2200.712466676507 1248.9992143271147 2832.263393549348 1862.9967520261102,2521.785714285714 1707.642857142857 2703.9285714285716 1764.357142857143,0,0,0
39,5,2201.773900002488 1249.4989716533053 2835.7640039173316 1865.3133078073872,2522.5714285714284 1710.7857142857142 2704.8571428571427 1767.2142857142858,0,0,0
40,5,2202.8353333284695 1249.9987289794956 2839.2646142853155 1867.629863588664,2523.3571428571427 1713.9285714285713 2705.785714285714 1770.0714285714287,0,0,0
41,5,2203.896766654451 1250.498486305686 2842.7652246532994 1869.9464193699407,2524.1428571428573 1717.0714285714287 2706.714285714286 1772.9285714285713,0,0,0
42,5,2204.9581999804323 1250.9982436318762 2846.2658350212832 1872.2629751512175,2524.9285714285716 1720.2142857142858 2707.6428571428573 1775.7857142857142,0,0,0
43,5,2206.019633306413 1251.4980009580668 2849.7664453892667 1874.5795309324944,2525.714285714286 1723.357142857143 2708.5714285714284 1778.642857142857,0,0,0
44,5,2207.0810666323946 1251.997758284257 2853.2670557572505 1876.8960867137712,2526.5 1726.5 2709.5 1781.5,0.264431357383728,MD51VSU,0.13442055707508918
45,5,2208.148661475965 1255.8954108329458 2854.1999571103324 1880.592982461514,2526.75 1730.25 2711.25 1784.75,0,0,0
